,AIF1,CD11B,AOAH,ARHGAP25,ZNF101,CEP68,GLRX,COQ8A,GPR155,SELPLG,PDP1,RNF214,STK10,CORO7,ITFG2,FOXP3,PRSS23,SAMHD1,PRKCB,TNFSF8,ADRB2,MYO1G,LITAF,ADGRG1,VCL,STMN3,ZAP70,TRMT1,CD28,SLA,GAB3,TMEM123,GZMB,RASSF1,TSHZ2,PDK1,AGTPBP1,SVIL,CD5,FANK1,LEF1,LCK,MTSS1,SGSM3,UCHL1,DSTN,CD248,RASGRP2,TRAF3IP3,WDR43,PLEK,CLDND1,GLUT1,PDE3B,FCRL6,RTKN2,GIMAP2,CCM2,CD38,PATL2,CD8B,TBX21,GLTSCR2,LDHB,FKBP5,TTC16,RIC3,CX3CR1,NELL2,SCML4,CD127,ARHGEF18,RAP1GAP2,LGALS1,WDR37,GPR183,CD42b,BEX4,NOSIP,ADAM8,IL2RA,SNURF,CCR10,CD161,NPM1,GCSAM,SLCO4C1,TTN,SERINC5,FCRL3,RGS19,FAM102A,LMO7,TMEM204,C12orf75,SPON2,CCL5,GIMAP5,OXNAD1,ATP2B1,KCNAB2,SPINT2,CAMK4,EIF3L,CD19,TIGIT,Helios,C1orf21,LTB,LLGL2,FCMR,TRAT1,TMEM63A,KLRF1,ARHGAP45,VEZF1,B3GNT2,BIRC3,SRPK2,CD247,FAM117B,CD6,CAPN2,EIF3E,CD27,NDFIP1,CD62L,APBA2,PLEKHG3,MBP,TIM3,DGKA,FAM110A,GITR,TPCN1,FHIT,SH3BP5,TOMM7,ACTN1,CD3G,LILRB1,NOG,LDLRAP1,GIMAP8,CD3E,MYO1F,C1orf228,SPTBN1,CCR4,CD48,PASK,CTLA4,GZMA,RSL1D1,CD146,LRRC75A,IL-17,APEX1,CORO1A,CD39,PI16,IGF1R,SH3YL1,GLUL,IL17RA,CEP78,ABLIM1,CD101,FYB1,HAPLN3,TTC39C,USP28,OSBPL5,NT5E,CCR6,GK5,LPCAT1,EPHX2,CD272,FOXP1,FAM60A,AHNAK,PXN,SLC9A3R1,THEM4,CD122,TBC1D4,GZMK,CXCR3,ELK3,TM4SF19,F5,ITGAL,TRABD2A,CD57,CCDC141,ITK,UBQLN2,CD95,GNLY,CCR8,CD3D,PLEKHB1,CASP2,PRKCA,FCGR3B,SAMD3,CD71,FCGR3A,CPNE2,LCP2,CASP8,CD18,TLDC2,RCAN3,CORO7-PAM16,HPGD,C6orf48,CD31,BACH2,BIN2,IL2RG,PSIP1,SLC40A1,CD2,CXCR4,CD29,CMTM7,SYNE1,SNX20,CD45,ARL4C,SH2D1A,ATM,TTC38,MAML2,EEF1B2,BCL2,TPST2,LMNA,TESPA1,TCF7,TGFBR3,CD69,NPAT,CD56,MLXIP,IL10RA,IL-4,S1PR5,EXOSC8,ISG20,CD49D,R3HDM4,CD30,FGR,VIPR1,CD14,PIK3IP1,THAP7,TRAP1,C1orf162,FUT11,CD55,METTL7A,CA6,RPS5,TRIM16,TAGLN2,ZEB2,STAM,RACK1,LRRN3,TXK,EMP3,SATB1,FLNA,MYC,FGFBP2,CD52,RAP1B,KLRD1,CD4,MAL,CD8,RAP2B,PIK3R5,ZNF683,RNF166,USP15,GZMH,EFHD2,NKG7,PD-1,CD53,CD37,SNED1,CD197,PTPRCAP,ZNF600,CD300A,SMAP2,EEF2,RPS8
Cell_86,0,1,0,0,3,0,0,1,0,0,4,3,0,0,1,2,3,0,0,0,0,3,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,7,4,1,16,0,5,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,2,0,0,4,0,2,2,15,1,0,0,6,1,0,0,0,0,0,1,0,45,0,0,0,0,0,1,0,0,0,0,2,2,0,0,4,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,18,1,17,2,0,0,0,0,0,23,0,757,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,1,4,3,3,121,0,0,2,0,29,0,0,0,4,2,0,0,0,30,0,1,0,0,0,0,0,1,0,0,1,46,32,0,0,0,4,0,0,0,3,0,0,0,0,5,3,0,0,161,0,0,1,0,1,0,1,18,0,0,1,1,0,0,2,2,0,0,9,0,1,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,9,0,4,1,0,0,15,0,0,0,0,26,0,62
Cell_87,0,0,2,0,1,0,0,14,0,0,3,9,0,0,0,1,0,11,0,0,0,0,0,1,0,0,0,0,2,0,5,1,1,3,0,0,0,0,0,0,1,0,6,0,0,3,1,3,0,2,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,3,12,0,1,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,6,0,0,1,100,0,3,0,0,0,0,0,1,0,0,0,6,0,1,2,0,0,0,11,0,14,0,0,0,4,0,0,1,0,0,0,0,46,1,0,0,0,0,0,3,13,0,0,0,0,0,0,0,2,1,2,0,0,2,0,1,0,2,25,2,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,4,1,0,7,0,0,0,0,0,0,0,11,0,0,0,0,10,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,57,16,0,0,1,7,0,1,1,0,2,0,0,38,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,4,0,0,0,9,0,0,1,2,0,0,2,0,0,0,0,0,0,5,12,35,0,17,0,0,0,1,0,0,7,0,0,1,0,2,0,9
Cell_88,0,0,0,0,43,0,1,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,0,0,24,4,0,0,15,0,0,0,0,0,0,1,9,0,0,1,2,4,0,0,0,13,0,0,0,0,0,1,0,3,0,0,0,23,1,0,2,19,1,0,0,0,1,0,3,0,38,0,0,0,0,0,2,0,0,0,0,0,2,0,10,0,3,0,1,0,0,0,34,0,3,0,0,0,0,0,0,2,0,0,123,0,0,0,0,0,1,1,3,13,0,1,0,0,0,0,0,0,1,0,0,35,0,3,0,0,0,0,0,0,9,0,0,0,0,9,0,1,0,7,0,0,6,0,26,0,45,0,0,0,0,3,0,0,2,10,1,0,0,19,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,9,0,12,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,4,0,36,0,0,0,3,0,0,0,0,0,0,0,42,16,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,1,0,7,17,0,0,1,0,0,4,0,1,0,0,0,0,35,0,0,0,5,0,1,0,0,0,0,6,0,0,0,0,8,0,3
Cell_89,0,0,0,0,0,11,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,9,1,0,0,0,0,4,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,3,1,0,0,5,0,0,0,141,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,11,8,2,0,0,0,0,13,0,0,0,1,0,0,0,3,0,1,0,111,0,0,0,20,0,0,18,12,0,0,0,0,1,0,0,0,0,113,0,3,99,0,0,1,0,0,0,24,0,3,0,0,0,4,2,0,4,6,0,0,0,14,0,2,0,0,0,2,0,1,0,0,0,4,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,10,3,0,2,0,0,0,0,25,0,1,1,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,38,91,0,1,0,3,0,1,0,0,0,0,0,10,1,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,8,69,1,0,16,0,1,1,4,0,0,0,1,0,4,0,8,0,0
Cell_90,31,0,0,0,0,0,1,5,102,0,4,4,0,0,0,0,0,0,0,2,0,0,9,1,0,2,0,3,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,7,0,0,14,23,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,3,3,6,1,0,1,0,101,28,12,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,0,0,0,0,0,0,1,0,3,0,1,6,0,126,0,0,2,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,17,0,0,2,0,0,0,0,0,0,11,69,0,0,0,0,2,0,0,9,2,0,0,0,5,0,0,0,0,0,0,6,643,0,0,0,0,5,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,1,7,0,2,3,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0
Cell_91,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,10,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,13,0,14,3,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,5,0,2,0,0,0,1,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,22,2,2,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,24,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1507,0,0,1,0,0,0,0,0,0,1,2605,11,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,5,0,0,3,4,0,0,0,0,0,0,6,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,12,1,1,0,1,0,0,1,0,2,0,1,0,14,4,0,0,0,7,0,0,0,0,0,50,0,0,14,17,4,0,0
Cell_92,0,0,0,0,0,4,2,1,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,51,0,1,2,0,0,0,2,0,2,1,0,1,0,0,0,0,7,0,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,0,8,8,4,0,2,0,0,0,3,0,1,0,0,0,0,0,0,9,0,0,0,0,3,5,1,0,0,1,4,66,0,0,0,0,0,0,0,0,18,0,0,101,2,0,0,0,1,0,0,0,6,0,0,1,0,4,1,31,0,3,0,0,23,0,8,0,29,14,0,0,0,0,0,2,4,0,12,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,111,1,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,2,1,0,0,1,11,2,19,0,4,0,1,0,0,1,4,1,0,13,2,0,0,0,0,0,0,9,24,0,32,0,0,0,0,0,0,5,0,0,1,47,0,0,3
Cell_93,5,0,1,0,0,0,0,6,0,0,0,34,0,0,0,0,12,7,0,2,0,6,0,13,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,162,0,0,2,1,0,0,0,5,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,0,0,5,0,0,0,1,1,0,0,0,0,6,5,1,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,45,0,7,0,0,1,0,0,0,0,0,0,0,0,2,1,18,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,76,6,0,0,0,0,0,6,0,20,0,0,1,0,0,0,3,0,1,0,0,0,0,6,1,10,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,4,1,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,8,0,1,0,0,0,0,0,0,17,0,0,6,0,7,0,0
Cell_94,0,0,0,0,15,9,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,1,5,7,0,0,0,0,0,0,0,1,0,0,0,2,6,2,0,17,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,15,0,0,0,1,0,0,0,0,1,0,0,5,17,1,0,0,1,0,9,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,106,0,94,0,0,0,3,0,0,3,1,0,0,0,0,0,27,0,2,0,0,1,0,0,0,4,1,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,28,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,2,0,0,2,6,2,0,0,2,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,16,0,0,1,0,0,0,5,0,0,9,9,2,0,1
Cell_95,0,0,0,3,1,1,0,1,25,0,0,0,0,1,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,3,0,4,0,7,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,89,0,0,0,0,7,0,0,1,10,0,0,0,40,0,0,0,0,5,2,13,0,2,0,0,0,0,0,4,0,9,0,0,0,0,0,8,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,21,0,1,0,4,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,16,12,8,0,0,0,1,31,0,1,0,1,1,0,0,0,0,0,0,30,2,3,0,0,0,1,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,67,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,1,0,0,20,0,1,0,0,117,0,1,1,0,0,4,0,2,0,0,5,1,0,31,0,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,0,5,0,0,0,0,0,0,5,0,0,13,18,0,0,0
Cell_96,0,0,0,1,1,6,0,4,47,0,0,18,0,4,0,0,1,2,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,8,11,0,0,0,0,0,0,0,7,6,0,0,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,38,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,1,0,0,0,0,2,3,0,0,4,0,2,0,0,0,2,5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,10,0,0,0,0,0,0,29,0,124,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,1,30,4,2,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,1,1,1,0,26,0,0,0,0,36,0,38,0,0,4,0,0,4,11,0,0,0,0,17,0,0,0,0,0,3,102,0,0,6,3,6,2,4,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,57,0,7,0,0,0,0,0,0,48,0,0,16,2,0,0,3
Cell_97,2,0,0,0,14,37,0,0,1,0,0,18,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0,4,6,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,11,2,0,0,3,4,0,0,0,5,0,0,0,1,0,0,0,0,9,0,0,3,0,1,0,17,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,64,0,0,1,0,0,0,0,0,0,121,0,0,1,0,0,0,0,0,0,280,3,161,0,1,0,0,0,0,0,0,24,0,0,17,0,0,0,4,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,3,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,18,0,1,0,0,0,6,0,17,0,0,0,3,0,0,0,4,0,0,0,0,1,0,2,0,23,0,1,0,0,0,0,0,0,0,1,5,3,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,7,15,0,2,1,0,0,0,0,0,6,0,0,0,47,0,0,14
Cell_98,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,0,0,0,0,0,12,0,3,0,0,0,0,0,1,0,13,1,0,0,0,0,4,1,0,3,1,0,0,0,0,6,0,0,0,1,1,0,0,0,0,13,0,0,0,0,0,23,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,32,0,0,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,1,3,0,1,0,0,4,0,0,0,0,21,0,1,0,14,0,0,1,0,4,0,0,0,0,0,3,0,0,1,6,1,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,24,1,0,1,0,0,0,44,0,0,57,1,0,1,2
Cell_99,0,0,1,1,2,0,0,0,18,0,2,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,51,0,0,0,0,0,10,0,0,8,0,0,0,18,0,4,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,31,0,0,3,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,14,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,2,9,0,0,14,0,0,0,0,0,0,0,19,0,0,0,1,0,6,3,4,0,0,0,0,1,0,0,0,0,83,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,6,0,0,0,0,4,1,0,0,40,0,0,0,11,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,64,0,0,0,0,2,1,1,0,0,0,12,0,1,8,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,9
Cell_100,0,0,1,1,4,14,0,0,0,1,0,0,0,5,0,0,11,1,0,0,0,9,0,0,0,0,0,1,0,0,4,0,1,0,3,0,42,1,0,7,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,3,3,6,10,0,0,0,0,0,70,0,7,1,0,1,0,0,0,2,0,0,0,0,0,4,3,11,0,0,8,8,0,0,0,0,1,0,0,0,0,6,0,0,480,0,0,0,1,0,0,180,18,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,14,0,0,0,14,0,1,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,27,0,2,0,12,0,0,1,0,0,0,0,8,0,1,1,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,2,1,0,1,0,8,0,0,0,5,0,0,0,0,3,3,0,51,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,3,0,2,0,0,0,1,16,40,0,0,0,4,0,0,1,0,0,0,0,0,0,64,11,0,77
Cell_101,0,0,0,1,0,187,2,24,7,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,59,7,0,10,0,0,0,0,4,8,0,0,0,1,0,3,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0,6,4,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,19,3,9,0,1,0,0,0,0,0,0,0,1,0,2,16,0,1,0,0,0,38,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,6,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,1,194,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,2,4,0,1,0,25,0,0,1,3,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,5,0,0,1,44,56,0,0,0,9,0,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,5
Cell_102,6,0,0,0,9,1,0,1,8,0,11,59,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,2,0,0,4,0,5,23,0,0,0,0,0,0,0,7,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,100,20,0,0,0,0,31,4,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,5,0,0,0,2,65,0,5,1,0,0,7,2,0,2,0,13,34,2,0,0,6,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,1,0,3,0,49,0,4,0,0,0,0,0,0,10,0,0,0,49,6,1,0,0,0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,3,0,0
Cell_103,0,0,0,0,0,9,0,0,2,0,14,0,0,2,0,0,28,2,0,11,0,0,2,0,0,0,0,0,0,0,9,2,0,2,0,0,83,0,0,0,2,0,1,2,0,10,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,16,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,1,9,5,0,0,0,18,0,0,0,1,0,0,0,0,0,14,0,0,138,0,2,0,0,0,0,0,7,6,0,0,0,2,37,0,0,0,6,0,0,3,0,0,0,0,311,3,0,0,0,4,0,0,0,5,3,0,2,0,2,0,0,0,0,0,0,0,2,12,0,0,0,1,2,0,9,0,0,0,0,1,0,0,0,1,0,1,45,0,31,0,3,3,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,56,0,1,0,0,0,0,0,4,1,1,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,10,0,16,0,0,0,0,0,0,155,0,0,0,1,13,0,2
Cell_104,5,0,0,0,0,2,0,0,0,0,0,8,0,0,0,1,0,3,0,2,1,0,2,0,0,0,0,1,2,0,0,0,3,2,0,0,0,0,1,0,4,0,0,0,0,0,22,0,2,1,0,7,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,8,0,3,0,5,0,5,0,4,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,0,0,0,43,0,4,0,0,0,0,0,2,1,2,0,12,0,4,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,46,1,3,0,0,0,1,13,0,0,4,7,0,0,0,0,9,0,3,0,0,0,0,1,2,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,6,8,0,6,0,0,33,0,1,0,0,0,1,0,0,0,3,0,0,6,0,0,0,0,1021,8,0,0,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,5,0,2,0,1,3,0,0,0,16,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,9,0,0,0,0,0,0,0,1,1,0,0,0,7,12,0,0
Cell_105,3,1,0,0,0,2,2,1,12,0,1,10,2,0,2,0,5,0,0,2,0,14,1,5,0,1,0,0,0,0,4,0,1,0,28,1,0,0,0,0,0,0,2,16,0,8,10,4,0,1,0,3,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,7,0,1,0,0,10,0,0,0,0,0,0,0,1,2,0,0,4,35,0,1,5,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,1,2,1,22,0,0,31,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,21,0,6,3,0,0,0,18,0,32,0,0,2,0,2,0,0,0,1,0,0,3,0,0,6,0,1,0,1,0,0,0,0,1,25,0,0,0,0,0,0,0,14,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,4,54,0,0,0,0,2,0,0,0,0,1,1,14,0,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,2,0,1,8,0,0,1,31,0,2,58
