#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD14	MYO1F	9606.ENSP00000385519	9606.ENSP00000494550	0	0	0	0	0.420	0	0	0	0.420
CD19	CCR7	9606.ENSP00000313419	9606.ENSP00000246657	0	0	0	0	0.457	0	0	0	0.457
CD19	BTLA	9606.ENSP00000313419	9606.ENSP00000333919	0	0	0	0	0.450	0	0	0	0.450
CD19	FCMR	9606.ENSP00000313419	9606.ENSP00000356058	0	0	0	0	0.652	0	0	0	0.652
CD2	IL2RB	9606.ENSP00000358490	9606.ENSP00000216223	0	0	0	0	0.681	0	0	0	0.681
CD2	GZMH	9606.ENSP00000358490	9606.ENSP00000216338	0	0	0	0	0.768	0	0	0	0.768
CD2	GZMB	9606.ENSP00000358490	9606.ENSP00000216341	0	0	0	0	0.617	0	0	0	0.617
CD2	NKG7	9606.ENSP00000358490	9606.ENSP00000221978	0	0	0	0	0.767	0	0	0	0.767
CD2	IL10RA	9606.ENSP00000358490	9606.ENSP00000227752	0	0	0	0	0.451	0	0	0	0.451
CD2	KLRB1	9606.ENSP00000358490	9606.ENSP00000229402	0	0	0	0	0.773	0	0	0	0.773
CD2	GZMK	9606.ENSP00000358490	9606.ENSP00000231009	0	0	0	0	0.800	0	0	0	0.800
CD2	CCR7	9606.ENSP00000358490	9606.ENSP00000246657	0	0	0	0	0.432	0	0	0	0.432
CD2	CD27	9606.ENSP00000358490	9606.ENSP00000266557	0	0	0	0	0.472	0	0	0	0.472
CD2	CD3D	9606.ENSP00000358490	9606.ENSP00000300692	0	0	0	0	0.827	0	0	0	0.827
CD2	IL7R	9606.ENSP00000358490	9606.ENSP00000306157	0	0	0	0	0.530	0	0	0	0.530
CD2	CD6	9606.ENSP00000358490	9606.ENSP00000323280	0	0	0	0	0.718	0	0	0	0.718
CD2	CD5	9606.ENSP00000358490	9606.ENSP00000342681	0	0	0	0	0.554	0	0	0	0.554
CD2	GIMAP5	9606.ENSP00000358490	9606.ENSP00000351473	0	0	0	0	0.441	0	0	0	0.441
CD2	CD3E	9606.ENSP00000358490	9606.ENSP00000354566	0	0	0	0	0.846	0	0	0	0.846
CD2	LTB	9606.ENSP00000358490	9606.ENSP00000410481	0	0	0	0	0.404	0	0	0	0.404
CD2	GNLY	9606.ENSP00000358490	9606.ENSP00000436423	0	0	0	0	0.491	0	0	0	0.491
CD2	CTLA4	9606.ENSP00000358490	9606.ENSP00000497102	0	0	0	0	0.401	0	0	0	0.401
CD2	PRF1	9606.ENSP00000358490	9606.ENSP00000398568	0	0	0	0	0.557	0	0	0	0.557
CD2	CD52	9606.ENSP00000358490	9606.ENSP00000363330	0	0	0	0	0.588	0	0	0	0.588
CD2	PTPRC	9606.ENSP00000358490	9606.ENSP00000411355	0	0	0	0	0.406	0	0	0	0.406
CD2	CD3G	9606.ENSP00000358490	9606.ENSP00000431445	0	0	0	0	0.810	0	0	0	0.810
CD2	CD8A	9606.ENSP00000358490	9606.ENSP00000386559	0	0	0	0	0.802	0	0	0	0.802
CD27	GZMK	9606.ENSP00000266557	9606.ENSP00000231009	0	0	0	0	0.434	0	0	0	0.434
CD27	CCR7	9606.ENSP00000266557	9606.ENSP00000246657	0	0	0	0	0.417	0	0	0	0.417
CD27	CD6	9606.ENSP00000266557	9606.ENSP00000323280	0	0	0	0	0.439	0	0	0	0.439
CD27	CD3D	9606.ENSP00000266557	9606.ENSP00000300692	0	0	0	0	0.441	0	0	0	0.441
CD27	CD2	9606.ENSP00000266557	9606.ENSP00000358490	0	0	0	0	0.472	0	0	0	0.472
CD28	CD3D	9606.ENSP00000324890	9606.ENSP00000300692	0	0	0	0	0.428	0	0	0	0.428
CD28	CD6	9606.ENSP00000324890	9606.ENSP00000323280	0	0	0	0	0.443	0	0	0	0.443
CD28	CD3G	9606.ENSP00000324890	9606.ENSP00000431445	0	0	0	0	0.497	0	0	0	0.497
CD28	CD5	9606.ENSP00000324890	9606.ENSP00000342681	0	0	0	0	0.419	0	0	0	0.419
CD300A	PLEK	9606.ENSP00000353259	9606.ENSP00000234313	0	0	0	0	0.435	0	0	0	0.435
CD300A	FGR	9606.ENSP00000353259	9606.ENSP00000363117	0	0	0	0	0.404	0	0	0	0.404
CD300A	ITGAM	9606.ENSP00000353259	9606.ENSP00000496959	0	0	0	0	0.421	0	0	0	0.421
CD300A	ITGB2	9606.ENSP00000353259	9606.ENSP00000380948	0	0	0	0	0.415	0	0	0	0.415
CD3D	GZMH	9606.ENSP00000300692	9606.ENSP00000216338	0	0	0	0	0.430	0	0	0	0.430
CD3D	NKG7	9606.ENSP00000300692	9606.ENSP00000221978	0	0	0	0	0.482	0	0	0	0.482
CD3D	KLRB1	9606.ENSP00000300692	9606.ENSP00000229402	0	0	0	0	0.524	0	0	0	0.524
CD3D	GZMK	9606.ENSP00000300692	9606.ENSP00000231009	0	0	0	0	0.779	0	0	0	0.779
CD3D	CCR7	9606.ENSP00000300692	9606.ENSP00000246657	0	0	0	0	0.414	0	0	0	0.414
CD3D	CD27	9606.ENSP00000300692	9606.ENSP00000266557	0	0	0	0	0.441	0	0	0	0.441
CD3D	CD5	9606.ENSP00000300692	9606.ENSP00000342681	0	0	0	0	0.473	0	0	0	0.473
CD3D	CD28	9606.ENSP00000300692	9606.ENSP00000324890	0	0	0	0	0.428	0	0	0	0.428
CD3D	CD52	9606.ENSP00000300692	9606.ENSP00000363330	0	0	0	0	0.500	0	0	0	0.500
CD3D	IL7R	9606.ENSP00000300692	9606.ENSP00000306157	0	0	0	0	0.453	0	0	0	0.453
CD3D	CD6	9606.ENSP00000300692	9606.ENSP00000323280	0	0	0	0	0.643	0	0	0	0.643
CD3D	CD2	9606.ENSP00000300692	9606.ENSP00000358490	0	0	0	0	0.827	0	0	0	0.827
CD3D	CD8B	9606.ENSP00000300692	9606.ENSP00000331172	0	0	0	0	0.588	0	0	0	0.588
CD3D	CD8A	9606.ENSP00000300692	9606.ENSP00000386559	0	0	0	0	0.661	0	0	0	0.661
CD3D	CD3G	9606.ENSP00000300692	9606.ENSP00000431445	0	0	0	0.890	0.978	0	0	0	0.978
CD3D	CD3E	9606.ENSP00000300692	9606.ENSP00000354566	0	0	0	0	0.942	0	0	0	0.942
CD3E	CD4	9606.ENSP00000354566	9606.ENSP00000011653	0	0	0	0	0.454	0	0	0	0.454
CD3E	GZMK	9606.ENSP00000354566	9606.ENSP00000231009	0	0	0	0	0.447	0	0	0	0.447
CD3E	CD3D	9606.ENSP00000354566	9606.ENSP00000300692	0	0	0	0	0.942	0	0	0	0.942
CD3E	CD6	9606.ENSP00000354566	9606.ENSP00000323280	0	0	0	0	0.684	0	0	0	0.684
CD3E	CD8B	9606.ENSP00000354566	9606.ENSP00000331172	0	0	0	0	0.480	0	0	0	0.480
CD3E	CD5	9606.ENSP00000354566	9606.ENSP00000342681	0	0	0	0	0.784	0	0	0	0.784
CD3E	PRF1	9606.ENSP00000354566	9606.ENSP00000398568	0	0	0	0	0.483	0	0	0	0.483
CD3E	CD52	9606.ENSP00000354566	9606.ENSP00000363330	0	0	0	0	0.672	0	0	0	0.672
CD3E	CD2	9606.ENSP00000354566	9606.ENSP00000358490	0	0	0	0	0.846	0	0	0	0.846
CD3E	CD8A	9606.ENSP00000354566	9606.ENSP00000386559	0	0	0	0	0.713	0	0	0	0.713
CD3E	CD3G	9606.ENSP00000354566	9606.ENSP00000431445	0	0	0	0	0.953	0	0	0	0.953
CD3G	NKG7	9606.ENSP00000431445	9606.ENSP00000221978	0	0	0	0	0.432	0	0	0	0.432
CD3G	KLRB1	9606.ENSP00000431445	9606.ENSP00000229402	0	0	0	0	0.401	0	0	0	0.401
CD3G	GZMK	9606.ENSP00000431445	9606.ENSP00000231009	0	0	0	0	0.532	0	0	0	0.532
CD3G	CCR7	9606.ENSP00000431445	9606.ENSP00000246657	0	0	0	0	0.448	0	0	0	0.448
CD3G	CD3D	9606.ENSP00000431445	9606.ENSP00000300692	0	0	0	0.890	0.978	0	0	0	0.978
CD3G	CD6	9606.ENSP00000431445	9606.ENSP00000323280	0	0	0	0	0.660	0	0	0	0.660
CD3G	CD28	9606.ENSP00000431445	9606.ENSP00000324890	0	0	0	0	0.497	0	0	0	0.497
CD3G	CD8B	9606.ENSP00000431445	9606.ENSP00000331172	0	0	0	0	0.499	0	0	0	0.499
CD3G	CD5	9606.ENSP00000431445	9606.ENSP00000342681	0	0	0	0	0.491	0	0	0	0.491
CD3G	CD3E	9606.ENSP00000431445	9606.ENSP00000354566	0	0	0	0	0.953	0	0	0	0.953
CD3G	CD2	9606.ENSP00000431445	9606.ENSP00000358490	0	0	0	0	0.810	0	0	0	0.810
CD3G	CD8A	9606.ENSP00000431445	9606.ENSP00000386559	0	0	0	0	0.643	0	0	0	0.643
CD3G	PRF1	9606.ENSP00000431445	9606.ENSP00000398568	0	0	0	0	0.495	0	0	0	0.495
CD4	CD3E	9606.ENSP00000011653	9606.ENSP00000354566	0	0	0	0	0.454	0	0	0	0.454
CD5	CCR7	9606.ENSP00000342681	9606.ENSP00000246657	0	0	0	0	0.774	0	0	0	0.774
CD5	CD3D	9606.ENSP00000342681	9606.ENSP00000300692	0	0	0	0	0.473	0	0	0	0.473
CD5	CD6	9606.ENSP00000342681	9606.ENSP00000323280	0	0	0	0.558	0.787	0	0	0	0.787
CD5	CD28	9606.ENSP00000342681	9606.ENSP00000324890	0	0	0	0	0.419	0	0	0	0.419
CD5	CD3G	9606.ENSP00000342681	9606.ENSP00000431445	0	0	0	0	0.491	0	0	0	0.491
CD5	CD3E	9606.ENSP00000342681	9606.ENSP00000354566	0	0	0	0	0.784	0	0	0	0.784
CD5	CD2	9606.ENSP00000342681	9606.ENSP00000358490	0	0	0	0	0.554	0	0	0	0.554
CD52	IL10RA	9606.ENSP00000363330	9606.ENSP00000227752	0	0	0	0	0.424	0	0	0	0.424
CD52	CD69	9606.ENSP00000363330	9606.ENSP00000228434	0	0	0	0	0.402	0	0	0	0.402
CD52	KLRB1	9606.ENSP00000363330	9606.ENSP00000229402	0	0	0	0	0.435	0	0	0	0.435
CD52	GZMK	9606.ENSP00000363330	9606.ENSP00000231009	0	0	0	0	0.439	0	0	0	0.439
CD52	PLEK	9606.ENSP00000363330	9606.ENSP00000234313	0	0	0	0	0.410	0	0	0	0.410
CD52	CD3D	9606.ENSP00000363330	9606.ENSP00000300692	0	0	0	0	0.500	0	0	0	0.500
CD52	CD3E	9606.ENSP00000363330	9606.ENSP00000354566	0	0	0	0	0.672	0	0	0	0.672
CD52	CD2	9606.ENSP00000363330	9606.ENSP00000358490	0	0	0	0	0.588	0	0	0	0.588
CD52	AIF1	9606.ENSP00000363330	9606.ENSP00000365227	0	0	0	0	0.422	0	0	0	0.422
CD52	ITGB2	9606.ENSP00000363330	9606.ENSP00000380948	0	0	0	0	0.430	0	0	0	0.430
CD52	PTPRC	9606.ENSP00000363330	9606.ENSP00000411355	0	0	0	0	0.490	0	0	0	0.490
CD6	IL2RB	9606.ENSP00000323280	9606.ENSP00000216223	0	0	0	0	0.422	0	0	0	0.422
CD6	GZMK	9606.ENSP00000323280	9606.ENSP00000231009	0	0	0	0	0.444	0	0	0	0.444
CD6	CCR7	9606.ENSP00000323280	9606.ENSP00000246657	0	0	0	0	0.447	0	0	0	0.447
CD6	CD27	9606.ENSP00000323280	9606.ENSP00000266557	0	0	0	0	0.439	0	0	0	0.439
CD6	CD3D	9606.ENSP00000323280	9606.ENSP00000300692	0	0	0	0	0.643	0	0	0	0.643
CD6	LTB	9606.ENSP00000323280	9606.ENSP00000410481	0	0	0	0	0.431	0	0	0	0.431
CD6	CD28	9606.ENSP00000323280	9606.ENSP00000324890	0	0	0	0	0.443	0	0	0	0.443
CD6	CD3G	9606.ENSP00000323280	9606.ENSP00000431445	0	0	0	0	0.660	0	0	0	0.660
CD6	CD3E	9606.ENSP00000323280	9606.ENSP00000354566	0	0	0	0	0.684	0	0	0	0.684
CD6	CD2	9606.ENSP00000323280	9606.ENSP00000358490	0	0	0	0	0.718	0	0	0	0.718
CD6	CD5	9606.ENSP00000323280	9606.ENSP00000342681	0	0	0	0.558	0.787	0	0	0	0.787
CD69	CD52	9606.ENSP00000228434	9606.ENSP00000363330	0	0	0	0	0.402	0	0	0	0.402
CD69	GPR183	9606.ENSP00000228434	9606.ENSP00000365596	0	0	0	0	0.463	0	0	0	0.463
CD8A	IL2RB	9606.ENSP00000386559	9606.ENSP00000216223	0	0	0	0	0.476	0	0	0	0.476
CD8A	GZMH	9606.ENSP00000386559	9606.ENSP00000216338	0	0	0	0	0.786	0	0	0	0.786
CD8A	GZMB	9606.ENSP00000386559	9606.ENSP00000216341	0	0	0	0	0.466	0	0	0	0.466
CD8A	NKG7	9606.ENSP00000386559	9606.ENSP00000221978	0	0	0	0	0.781	0	0	0	0.781
CD8A	KLRB1	9606.ENSP00000386559	9606.ENSP00000229402	0	0	0	0	0.486	0	0	0	0.486
CD8A	GZMK	9606.ENSP00000386559	9606.ENSP00000231009	0	0	0	0	0.787	0	0	0	0.787
CD8A	CD3D	9606.ENSP00000386559	9606.ENSP00000300692	0	0	0	0	0.661	0	0	0	0.661
CD8A	CD8B	9606.ENSP00000386559	9606.ENSP00000331172	0	0	0	0	0.819	0	0	0	0.819
CD8A	KLRD1	9606.ENSP00000386559	9606.ENSP00000338130	0	0	0	0	0.658	0	0	0	0.658
CD8A	CD3E	9606.ENSP00000386559	9606.ENSP00000354566	0	0	0	0	0.713	0	0	0	0.713
CD8A	CD2	9606.ENSP00000386559	9606.ENSP00000358490	0	0	0	0	0.802	0	0	0	0.802
CD8A	SAMD3	9606.ENSP00000386559	9606.ENSP00000402092	0	0	0	0	0.426	0	0	0	0.426
CD8A	ZNF683	9606.ENSP00000386559	9606.ENSP00000388792	0	0	0	0	0.435	0	0	0	0.435
CD8A	GNLY	9606.ENSP00000386559	9606.ENSP00000436423	0	0	0	0	0.653	0	0	0	0.653
CD8A	PRF1	9606.ENSP00000386559	9606.ENSP00000398568	0	0	0	0	0.780	0	0	0	0.780
CD8A	CD3G	9606.ENSP00000386559	9606.ENSP00000431445	0	0	0	0	0.643	0	0	0	0.643
CD8B	GZMK	9606.ENSP00000331172	9606.ENSP00000231009	0	0	0	0	0.444	0	0	0	0.444
CD8B	CD3D	9606.ENSP00000331172	9606.ENSP00000300692	0	0	0	0	0.588	0	0	0	0.588
CD8B	CD3G	9606.ENSP00000331172	9606.ENSP00000431445	0	0	0	0	0.499	0	0	0	0.499
CD8B	CD3E	9606.ENSP00000331172	9606.ENSP00000354566	0	0	0	0	0.480	0	0	0	0.480
CD8B	CD8A	9606.ENSP00000331172	9606.ENSP00000386559	0	0	0	0	0.819	0	0	0	0.819
CTLA4	CD2	9606.ENSP00000497102	9606.ENSP00000358490	0	0	0	0	0.401	0	0	0	0.401
EEF1B2	EIF3E	9606.ENSP00000376055	9606.ENSP00000220849	0	0	0	0	0.538	0	0	0	0.538
EEF1B2	NPM1	9606.ENSP00000376055	9606.ENSP00000296930	0	0	0	0	0.551	0	0	0	0.551
EEF1B2	EEF2	9606.ENSP00000376055	9606.ENSP00000307940	0	0	0	0	0.754	0	0	0	0.754
EEF1B2	TOMM7	9606.ENSP00000376055	9606.ENSP00000351214	0	0	0	0	0.511	0	0	0	0.511
EEF1B2	EIF3L	9606.ENSP00000376055	9606.ENSP00000499067	0	0	0	0	0.499	0	0	0	0.499
EEF1B2	RPS5	9606.ENSP00000376055	9606.ENSP00000472985	0	0	0	0	0.966	0	0	0	0.966
EEF1B2	RPS8	9606.ENSP00000376055	9606.ENSP00000379888	0	0	0	0	0.985	0	0	0	0.985
EEF1B2	RACK1	9606.ENSP00000376055	9606.ENSP00000426909	0	0	0	0	0.985	0	0	0	0.985
EEF2	EIF3E	9606.ENSP00000307940	9606.ENSP00000220849	0	0	0	0	0.465	0	0	0	0.465
EEF2	NOP53	9606.ENSP00000307940	9606.ENSP00000246802	0	0	0	0	0.503	0	0	0	0.503
EEF2	EIF3L	9606.ENSP00000307940	9606.ENSP00000499067	0	0	0	0	0.606	0	0	0	0.606
EEF2	EEF1B2	9606.ENSP00000307940	9606.ENSP00000376055	0	0	0	0	0.754	0	0	0	0.754
EEF2	RPS8	9606.ENSP00000307940	9606.ENSP00000379888	0	0	0	0	0.901	0	0	0	0.901
EEF2	RPS5	9606.ENSP00000307940	9606.ENSP00000472985	0	0	0	0	0.775	0	0	0	0.775
EEF2	RACK1	9606.ENSP00000307940	9606.ENSP00000426909	0	0	0	0	0.960	0	0	0	0.960
EIF3E	EEF2	9606.ENSP00000220849	9606.ENSP00000307940	0	0	0	0	0.465	0	0	0	0.465
EIF3E	EEF1B2	9606.ENSP00000220849	9606.ENSP00000376055	0	0	0	0	0.538	0	0	0	0.538
EIF3E	RPS5	9606.ENSP00000220849	9606.ENSP00000472985	0	0	0	0	0.516	0	0	0	0.516
EIF3E	RACK1	9606.ENSP00000220849	9606.ENSP00000426909	0	0	0	0	0.709	0	0	0	0.709
EIF3E	RPS8	9606.ENSP00000220849	9606.ENSP00000379888	0	0	0	0	0.531	0	0	0	0.531
EIF3E	EIF3L	9606.ENSP00000220849	9606.ENSP00000499067	0	0	0	0	0.756	0	0	0	0.756
EIF3L	EIF3E	9606.ENSP00000499067	9606.ENSP00000220849	0	0	0	0	0.756	0	0	0	0.756
EIF3L	NOP53	9606.ENSP00000499067	9606.ENSP00000246802	0	0	0	0	0.473	0	0	0	0.473
EIF3L	EEF2	9606.ENSP00000499067	9606.ENSP00000307940	0	0	0	0	0.606	0	0	0	0.606
EIF3L	EEF1B2	9606.ENSP00000499067	9606.ENSP00000376055	0	0	0	0	0.499	0	0	0	0.499
EIF3L	RPS8	9606.ENSP00000499067	9606.ENSP00000379888	0	0	0	0	0.404	0	0	0	0.404
EIF3L	RACK1	9606.ENSP00000499067	9606.ENSP00000426909	0	0	0	0	0.542	0	0	0	0.542
EIF3L	RPS5	9606.ENSP00000499067	9606.ENSP00000472985	0	0	0	0	0.523	0	0	0	0.523
EMP3	LGALS1	9606.ENSP00000469194	9606.ENSP00000215909	0	0	0	0	0.646	0	0	0	0.646
FCGR3A	CD14	9606.ENSP00000356946	9606.ENSP00000385519	0	0	0	0	0.430	0	0	0	0.430
FCGR3A	FCGR3B	9606.ENSP00000356946	9606.ENSP00000433642	0	0	0	0.986	0.421	0	0	0	0.420
FCGR3B	FCGR3A	9606.ENSP00000433642	9606.ENSP00000356946	0	0	0	0.986	0.421	0	0	0	0.420
FCMR	CCR7	9606.ENSP00000356058	9606.ENSP00000246657	0	0	0	0	0.431	0	0	0	0.431
FCMR	CD19	9606.ENSP00000356058	9606.ENSP00000313419	0	0	0	0	0.652	0	0	0	0.652
FCRL3	TIGIT	9606.ENSP00000357169	9606.ENSP00000419085	0	0	0	0	0.447	0	0	0	0.447
FGFBP2	GZMH	9606.ENSP00000259989	9606.ENSP00000216338	0	0	0	0	0.769	0	0	0	0.769
FGFBP2	NKG7	9606.ENSP00000259989	9606.ENSP00000221978	0	0	0	0	0.473	0	0	0	0.473
FGFBP2	PRF1	9606.ENSP00000259989	9606.ENSP00000398568	0	0	0	0	0.478	0	0	0	0.478
FGFBP2	KLRD1	9606.ENSP00000259989	9606.ENSP00000338130	0	0	0	0	0.491	0	0	0	0.491
FGFBP2	S1PR5	9606.ENSP00000259989	9606.ENSP00000328472	0	0	0	0	0.526	0	0	0	0.526
FGFBP2	KLRF1	9606.ENSP00000259989	9606.ENSP00000483713	0	0	0	0	0.458	0	0	0	0.457
FGFBP2	GNLY	9606.ENSP00000259989	9606.ENSP00000436423	0	0	0	0	0.650	0	0	0	0.650
FGR	IL10RA	9606.ENSP00000363117	9606.ENSP00000227752	0	0	0	0	0.427	0	0	0	0.427
FGR	PLEK	9606.ENSP00000363117	9606.ENSP00000234313	0	0	0	0	0.526	0	0	0	0.526
FGR	CD300A	9606.ENSP00000363117	9606.ENSP00000353259	0	0	0	0	0.404	0	0	0	0.404
FGR	ARHGAP25	9606.ENSP00000363117	9606.ENSP00000386911	0	0	0	0	0.401	0	0	0	0.401
FGR	CD14	9606.ENSP00000363117	9606.ENSP00000385519	0	0	0	0	0.422	0	0	0	0.422
FGR	MYO1F	9606.ENSP00000363117	9606.ENSP00000494550	0	0	0	0	0.499	0	0	0	0.499
FGR	ITGAM	9606.ENSP00000363117	9606.ENSP00000496959	0	0	0	0	0.520	0	0	0	0.520
FGR	ITGB2	9606.ENSP00000363117	9606.ENSP00000380948	0	0	0	0	0.492	0	0	0	0.492
FLNA	VCL	9606.ENSP00000358866	9606.ENSP00000211998	0	0	0	0	0.474	0	0	0	0.474
GIMAP5	GIMAP8	9606.ENSP00000351473	9606.ENSP00000305107	0	0	0	0.810	0.776	0	0	0	0.776
GIMAP5	CD2	9606.ENSP00000351473	9606.ENSP00000358490	0	0	0	0	0.441	0	0	0	0.441
GIMAP8	GIMAP5	9606.ENSP00000305107	9606.ENSP00000351473	0	0	0	0.810	0.776	0	0	0	0.776
GNLY	TBX21	9606.ENSP00000436423	9606.ENSP00000177694	0	0	0	0	0.448	0	0	0	0.448
GNLY	IL2RB	9606.ENSP00000436423	9606.ENSP00000216223	0	0	0	0	0.768	0	0	0	0.768
GNLY	GZMH	9606.ENSP00000436423	9606.ENSP00000216338	0	0	0	0	0.789	0	0	0	0.789
GNLY	GZMB	9606.ENSP00000436423	9606.ENSP00000216341	0	0	0	0	0.799	0	0	0	0.799
GNLY	NKG7	9606.ENSP00000436423	9606.ENSP00000221978	0	0	0	0	0.787	0	0	0	0.787
GNLY	KLRB1	9606.ENSP00000436423	9606.ENSP00000229402	0	0	0	0	0.431	0	0	0	0.431
GNLY	GZMK	9606.ENSP00000436423	9606.ENSP00000231009	0	0	0	0	0.497	0	0	0	0.497
GNLY	FGFBP2	9606.ENSP00000436423	9606.ENSP00000259989	0	0	0	0	0.650	0	0	0	0.650
GNLY	KLRD1	9606.ENSP00000436423	9606.ENSP00000338130	0	0	0	0	0.780	0	0	0	0.780
GNLY	CD2	9606.ENSP00000436423	9606.ENSP00000358490	0	0	0	0	0.491	0	0	0	0.491
GNLY	CD8A	9606.ENSP00000436423	9606.ENSP00000386559	0	0	0	0	0.653	0	0	0	0.653
GNLY	PRF1	9606.ENSP00000436423	9606.ENSP00000398568	0	0	0	0	0.869	0	0	0	0.869
GNLY	KLRF1	9606.ENSP00000436423	9606.ENSP00000483713	0	0	0	0	0.525	0	0	0	0.525
GPR183	CD69	9606.ENSP00000365596	9606.ENSP00000228434	0	0	0	0	0.463	0	0	0	0.463
GPR183	PLEK	9606.ENSP00000365596	9606.ENSP00000234313	0	0	0	0	0.446	0	0	0	0.446
GZMB	TBX21	9606.ENSP00000216341	9606.ENSP00000177694	0	0	0	0	0.485	0	0	0	0.485
GZMB	IL2RB	9606.ENSP00000216341	9606.ENSP00000216223	0	0	0	0	0.779	0	0	0	0.779
GZMB	GZMH	9606.ENSP00000216341	9606.ENSP00000216338	0	0	0	0.970	0.841	0	0	0	0.841
GZMB	GZMK	9606.ENSP00000216341	9606.ENSP00000231009	0	0	0	0.822	0.461	0	0	0	0.461
GZMB	KLRB1	9606.ENSP00000216341	9606.ENSP00000229402	0	0	0	0	0.442	0	0	0	0.442
GZMB	KLRD1	9606.ENSP00000216341	9606.ENSP00000338130	0	0	0	0	0.556	0	0	0	0.556
GZMB	CD2	9606.ENSP00000216341	9606.ENSP00000358490	0	0	0	0	0.617	0	0	0	0.617
GZMB	NKG7	9606.ENSP00000216341	9606.ENSP00000221978	0	0	0	0	0.785	0	0	0	0.785
GZMB	CD8A	9606.ENSP00000216341	9606.ENSP00000386559	0	0	0	0	0.466	0	0	0	0.466
GZMB	GNLY	9606.ENSP00000216341	9606.ENSP00000436423	0	0	0	0	0.799	0	0	0	0.799
GZMB	PRF1	9606.ENSP00000216341	9606.ENSP00000398568	0	0	0	0	0.810	0	0	0	0.810
GZMH	TBX21	9606.ENSP00000216338	9606.ENSP00000177694	0	0	0	0	0.505	0	0	0	0.505
GZMH	IL2RB	9606.ENSP00000216338	9606.ENSP00000216223	0	0	0	0	0.451	0	0	0	0.451
GZMH	SAMD3	9606.ENSP00000216338	9606.ENSP00000402092	0	0	0	0	0.464	0	0	0	0.463
GZMH	S1PR5	9606.ENSP00000216338	9606.ENSP00000328472	0	0	0	0	0.428	0	0	0	0.428
GZMH	KLRF1	9606.ENSP00000216338	9606.ENSP00000483713	0	0	0	0	0.401	0	0	0	0.401
