Gene 1	Gene 2	Weight	Network group	Network
RGS19	ARHGAP45	0.006309174	Co-expression	Bild-Nevins-2006 B
FCGR3B	FCGR3A	0.009467392	Co-expression	Bild-Nevins-2006 B
KCNAB2	CD6	0.01561956	Co-expression	Bild-Nevins-2006 B
KCNAB2	ARHGAP45	0.0077605094	Co-expression	Bild-Nevins-2006 B
LTB	RASGRP2	0.0104118185	Co-expression	Bild-Nevins-2006 B
LTB	ARHGAP45	0.004559959	Co-expression	Bild-Nevins-2006 B
LTB	CXCR3	0.009416442	Co-expression	Bild-Nevins-2006 B
LTB	TCF7	0.010112685	Co-expression	Bild-Nevins-2006 B
LTB	CCR6	0.00935481	Co-expression	Bild-Nevins-2006 B
LTB	KCNAB2	0.008594498	Co-expression	Bild-Nevins-2006 B
TTN	CD28	0.019086381	Co-expression	Bild-Nevins-2006 B
TTN	KLRD1	0.019815221	Co-expression	Bild-Nevins-2006 B
TTN	LTB	0.0079648	Co-expression	Bild-Nevins-2006 B
PD-1	ARL4C	0.012966903	Co-expression	Bild-Nevins-2006 B
PD-1	CD6	0.009531836	Co-expression	Bild-Nevins-2006 B
PD-1	CCR8	0.013438385	Co-expression	Bild-Nevins-2006 B
CD5	CD6	0.018846525	Co-expression	Bild-Nevins-2006 B
CD5	ARHGAP45	0.00905442	Co-expression	Bild-Nevins-2006 B
CD5	TCF7	0.03164836	Co-expression	Bild-Nevins-2006 B
CD5	MYO1F	0.017559843	Co-expression	Bild-Nevins-2006 B
CD5	LTB	0.009120266	Co-expression	Bild-Nevins-2006 B
LITAF	FCGR3A	0.014616103	Co-expression	Bild-Nevins-2006 B
ARHGAP25	RASGRP2	0.007391412	Co-expression	Bild-Nevins-2006 B
ARHGAP25	SYNE1	0.0049249684	Co-expression	Bild-Nevins-2006 B
ARHGAP25	ARL4C	0.0055636247	Co-expression	Bild-Nevins-2006 B
ARHGAP25	CD6	0.005730271	Co-expression	Bild-Nevins-2006 B
ARHGAP25	CD28	0.0051639215	Co-expression	Bild-Nevins-2006 B
ARHGAP25	ARHGAP45	0.003276606	Co-expression	Bild-Nevins-2006 B
ARHGAP25	PDE3B	0.0077304947	Co-expression	Bild-Nevins-2006 B
ARHGAP25	CXCR3	0.007382747	Co-expression	Bild-Nevins-2006 B
ARHGAP25	TCF7	0.007248472	Co-expression	Bild-Nevins-2006 B
ARHGAP25	CCR6	0.007412847	Co-expression	Bild-Nevins-2006 B
ARHGAP25	SELPLG	0.005719018	Co-expression	Bild-Nevins-2006 B
ARHGAP25	MYO1F	0.0049700686	Co-expression	Bild-Nevins-2006 B
ARHGAP25	KCNAB2	0.0064681116	Co-expression	Bild-Nevins-2006 B
ARHGAP25	LTB	0.0036362545	Co-expression	Bild-Nevins-2006 B
ARHGAP25	TTN	0.0066841575	Co-expression	Bild-Nevins-2006 B
ARHGAP25	CD5	0.007477228	Co-expression	Bild-Nevins-2006 B
CD197	ZNF101	0.005995849	Co-expression	Bild-Nevins-2006 B
CD197	RASGRP2	0.009741494	Co-expression	Bild-Nevins-2006 B
CD197	CD6	0.0061766636	Co-expression	Bild-Nevins-2006 B
CD197	CD28	0.006675218	Co-expression	Bild-Nevins-2006 B
CD197	ARHGAP45	0.0040054726	Co-expression	Bild-Nevins-2006 B
CD197	PDE3B	0.009906132	Co-expression	Bild-Nevins-2006 B
CD197	PASK	0.0067261807	Co-expression	Bild-Nevins-2006 B
CD197	CXCR3	0.009664136	Co-expression	Bild-Nevins-2006 B
CD197	TCF7	0.010735221	Co-expression	Bild-Nevins-2006 B
CD197	CCR6	0.008594189	Co-expression	Bild-Nevins-2006 B
CD197	KCNAB2	0.007940391	Co-expression	Bild-Nevins-2006 B
CD197	LTB	0.0041754832	Co-expression	Bild-Nevins-2006 B
CD197	TTN	0.0067562764	Co-expression	Bild-Nevins-2006 B
CD197	CD5	0.009427134	Co-expression	Bild-Nevins-2006 B
CD197	ARHGAP25	0.0031027608	Co-expression	Bild-Nevins-2006 B
CD161	ZNF101	0.008879064	Co-expression	Bild-Nevins-2006 B
CD161	ARHGAP45	0.004846267	Co-expression	Bild-Nevins-2006 B
CD161	GZMB	0.0069037816	Co-expression	Bild-Nevins-2006 B
CD161	GNLY	0.0123557625	Co-expression	Bild-Nevins-2006 B
ATP2B1	CD197	0.0059135994	Co-expression	Bild-Nevins-2006 B
ELK3	CASP8	0.01158715	Co-expression	Bild-Nevins-2006 B
LILRB1	CD5	0.023021147	Co-expression	Bild-Nevins-2006 B
CD71	FCGR3B	0.014479192	Co-expression	Bild-Nevins-2006 B
FKBP5	HPGD	0.010467981	Co-expression	Bild-Nevins-2006 B
PRKCB	CD28	0.020488227	Co-expression	Bild-Nevins-2006 B
PRKCB	ARHGAP45	0.008310831	Co-expression	Bild-Nevins-2006 B
PRKCB	CCR6	0.025168616	Co-expression	Bild-Nevins-2006 B
PRKCB	LTB	0.009429001	Co-expression	Bild-Nevins-2006 B
PRKCB	ARHGAP25	0.008147565	Co-expression	Bild-Nevins-2006 B
PRKCB	CD197	0.009594992	Co-expression	Bild-Nevins-2006 B
CD42b	CCR6	0.02048213	Co-expression	Bild-Nevins-2006 B
CD42b	LTB	0.0065488745	Co-expression	Bild-Nevins-2006 B
CD42b	TTN	0.016644547	Co-expression	Bild-Nevins-2006 B
CD42b	ARHGAP25	0.005525361	Co-expression	Bild-Nevins-2006 B
SH3BP5	LTB	0.008764705	Co-expression	Bild-Nevins-2006 B
SH3BP5	ARHGAP25	0.0062788753	Co-expression	Bild-Nevins-2006 B
SH3BP5	CD197	0.007065455	Co-expression	Bild-Nevins-2006 B
PDK1	LPCAT1	0.0138671845	Co-expression	Bild-Nevins-2006 B
PDK1	GZMB	0.0062497617	Co-expression	Bild-Nevins-2006 B
PDK1	TPST2	0.014119686	Co-expression	Bild-Nevins-2006 B
PDK1	CASP8	0.013813589	Co-expression	Bild-Nevins-2006 B
PDK1	CD71	0.016834278	Co-expression	Bild-Nevins-2006 B
FCMR	RASGRP2	0.015117374	Co-expression	Bild-Nevins-2006 B
FCMR	CD28	0.010370601	Co-expression	Bild-Nevins-2006 B
FCMR	ARHGAP45	0.0057069273	Co-expression	Bild-Nevins-2006 B
FCMR	PASK	0.011213751	Co-expression	Bild-Nevins-2006 B
FCMR	TCF7	0.01616331	Co-expression	Bild-Nevins-2006 B
FCMR	CCR6	0.016236842	Co-expression	Bild-Nevins-2006 B
FCMR	LTB	0.0069015725	Co-expression	Bild-Nevins-2006 B
FCMR	TTN	0.012324864	Co-expression	Bild-Nevins-2006 B
FCMR	CD5	0.013941428	Co-expression	Bild-Nevins-2006 B
FCMR	ARHGAP25	0.0049826703	Co-expression	Bild-Nevins-2006 B
FCMR	CD197	0.006269105	Co-expression	Bild-Nevins-2006 B
FCMR	PRKCB	0.014410723	Co-expression	Bild-Nevins-2006 B
FCMR	CD42b	0.009108085	Co-expression	Bild-Nevins-2006 B
FCMR	SH3BP5	0.011463287	Co-expression	Bild-Nevins-2006 B
CD4	CD6	0.0170492	Co-expression	Bild-Nevins-2006 B
CD4	FCGR3B	0.013716815	Co-expression	Bild-Nevins-2006 B
CD4	PD-1	0.013830176	Co-expression	Bild-Nevins-2006 B
CD4	ARHGAP25	0.005878435	Co-expression	Bild-Nevins-2006 B
CD4	CD71	0.022487437	Co-expression	Bild-Nevins-2006 B
CD4	PDK1	0.016246578	Co-expression	Bild-Nevins-2006 B
TBC1D4	WDR37	0.020120457	Co-expression	Bild-Nevins-2006 B
SATB1	SVIL	0.01240898	Co-expression	Bild-Nevins-2006 B
SATB1	PSIP1	0.014798424	Co-expression	Bild-Nevins-2006 B
SATB1	ABLIM1	0.013309748	Co-expression	Bild-Nevins-2006 B
SATB1	ATP2B1	0.014456963	Co-expression	Bild-Nevins-2006 B
NKG7	CD6	0.0078121377	Co-expression	Bild-Nevins-2006 B
NKG7	ARHGAP45	0.0042298906	Co-expression	Bild-Nevins-2006 B
NKG7	GZMH	0.0072006555	Co-expression	Bild-Nevins-2006 B
NKG7	AIF1	0.00990158	Co-expression	Bild-Nevins-2006 B
NKG7	KLRD1	0.007163525	Co-expression	Bild-Nevins-2006 B
NKG7	CXCR3	0.012364924	Co-expression	Bild-Nevins-2006 B
NKG7	GZMB	0.0061910814	Co-expression	Bild-Nevins-2006 B
NKG7	SELPLG	0.008437154	Co-expression	Bild-Nevins-2006 B
NKG7	GNLY	0.012739755	Co-expression	Bild-Nevins-2006 B
NKG7	MYO1F	0.00849581	Co-expression	Bild-Nevins-2006 B
NKG7	KCNAB2	0.009195364	Co-expression	Bild-Nevins-2006 B
NKG7	CD5	0.011032588	Co-expression	Bild-Nevins-2006 B
NKG7	ARHGAP25	0.0034046336	Co-expression	Bild-Nevins-2006 B
NKG7	CD161	0.0061571696	Co-expression	Bild-Nevins-2006 B
NKG7	CD11B	0.0065660435	Co-expression	Bild-Nevins-2006 B
GPR183	CD300A	0.015907738	Co-expression	Bild-Nevins-2006 B
GPR183	ARHGAP45	0.0066317786	Co-expression	Bild-Nevins-2006 B
GPR183	CD161	0.011357385	Co-expression	Bild-Nevins-2006 B
CD31	CD6	0.013297798	Co-expression	Bild-Nevins-2006 B
CD31	ARHGAP25	0.005073188	Co-expression	Bild-Nevins-2006 B
VIPR1	AHNAK	0.012571455	Co-expression	Bild-Nevins-2006 B
ADAM8	SELPLG	0.017227702	Co-expression	Bild-Nevins-2006 B
ADAM8	MYO1F	0.012504863	Co-expression	Bild-Nevins-2006 B
ADAM8	KCNAB2	0.018234951	Co-expression	Bild-Nevins-2006 B
ADAM8	NELL2	0.020747889	Co-expression	Bild-Nevins-2006 B
ADAM8	CD11B	0.021693943	Co-expression	Bild-Nevins-2006 B
ADAM8	NKG7	0.0085425135	Co-expression	Bild-Nevins-2006 B
CD95	KLRD1	0.018873166	Co-expression	Bild-Nevins-2006 B
CD95	GZMB	0.008772006	Co-expression	Bild-Nevins-2006 B
CD95	ELK3	0.01458211	Co-expression	Bild-Nevins-2006 B
PLEK	CD300A	0.0068063447	Co-expression	Bild-Nevins-2006 B
PLEK	GZMH	0.0052465824	Co-expression	Bild-Nevins-2006 B
PLEK	AIF1	0.0077494783	Co-expression	Bild-Nevins-2006 B
PLEK	SAMHD1	0.0057011307	Co-expression	Bild-Nevins-2006 B
PLEK	ZEB2	0.005354235	Co-expression	Bild-Nevins-2006 B
PLEK	FCGR3A	0.0043870695	Co-expression	Bild-Nevins-2006 B
PLEK	GZMB	0.0048592915	Co-expression	Bild-Nevins-2006 B
PLEK	RGS19	0.0072325105	Co-expression	Bild-Nevins-2006 B
PLEK	CASP8	0.006743419	Co-expression	Bild-Nevins-2006 B
PLEK	CD161	0.0047667515	Co-expression	Bild-Nevins-2006 B
PLEK	CD4	0.0076306723	Co-expression	Bild-Nevins-2006 B
PLEK	GPR183	0.006606413	Co-expression	Bild-Nevins-2006 B
PLEK	CD95	0.006829819	Co-expression	Bild-Nevins-2006 B
UBQLN2	SVIL	0.009889629	Co-expression	Bild-Nevins-2006 B
STK10	RASGRP2	0.009543126	Co-expression	Bild-Nevins-2006 B
STK10	CD6	0.006444388	Co-expression	Bild-Nevins-2006 B
STK10	ARHGAP45	0.004247821	Co-expression	Bild-Nevins-2006 B
STK10	LPCAT1	0.006734134	Co-expression	Bild-Nevins-2006 B
STK10	TCF7	0.009545903	Co-expression	Bild-Nevins-2006 B
STK10	APBA2	0.008438581	Co-expression	Bild-Nevins-2006 B
STK10	SELPLG	0.0066939597	Co-expression	Bild-Nevins-2006 B
STK10	MYO1F	0.0061589614	Co-expression	Bild-Nevins-2006 B
STK10	KCNAB2	0.009054569	Co-expression	Bild-Nevins-2006 B
STK10	LTB	0.004282417	Co-expression	Bild-Nevins-2006 B
STK10	ARHGAP25	0.003263385	Co-expression	Bild-Nevins-2006 B
STK10	CD197	0.003935434	Co-expression	Bild-Nevins-2006 B
STK10	NKG7	0.0047912435	Co-expression	Bild-Nevins-2006 B
STK10	ADAM8	0.007064695	Co-expression	Bild-Nevins-2006 B
CD3E	RASGRP2	0.007988225	Co-expression	Bild-Nevins-2006 B
CD3E	SYNE1	0.0060968865	Co-expression	Bild-Nevins-2006 B
CD3E	ARL4C	0.006833808	Co-expression	Bild-Nevins-2006 B
CD3E	CD6	0.0065653776	Co-expression	Bild-Nevins-2006 B
CD3E	ARHGAP45	0.0036600505	Co-expression	Bild-Nevins-2006 B
CD3E	PDE3B	0.007966973	Co-expression	Bild-Nevins-2006 B
CD3E	CXCR3	0.0108517995	Co-expression	Bild-Nevins-2006 B
CD3E	TCF7	0.010008942	Co-expression	Bild-Nevins-2006 B
CD3E	CCR6	0.0073710997	Co-expression	Bild-Nevins-2006 B
CD3E	APBA2	0.0065822937	Co-expression	Bild-Nevins-2006 B
CD3E	SELPLG	0.005918746	Co-expression	Bild-Nevins-2006 B
CD3E	MYO1F	0.005797688	Co-expression	Bild-Nevins-2006 B
CD3E	KCNAB2	0.008214781	Co-expression	Bild-Nevins-2006 B
CD3E	LTB	0.003766862	Co-expression	Bild-Nevins-2006 B
CD3E	CD5	0.0097117275	Co-expression	Bild-Nevins-2006 B
CD3E	ARHGAP25	0.0030180851	Co-expression	Bild-Nevins-2006 B
CD3E	CD197	0.0036954207	Co-expression	Bild-Nevins-2006 B
CD3E	PRKCB	0.008687544	Co-expression	Bild-Nevins-2006 B
CD3E	FCMR	0.005169454	Co-expression	Bild-Nevins-2006 B
CD3E	NKG7	0.0044556214	Co-expression	Bild-Nevins-2006 B
CD3E	STK10	0.0034840435	Co-expression	Bild-Nevins-2006 B
CD8	CD300A	0.008996076	Co-expression	Bild-Nevins-2006 B
CD8	SYNE1	0.008261538	Co-expression	Bild-Nevins-2006 B
CD8	CD101	0.009196564	Co-expression	Bild-Nevins-2006 B
CD8	CD6	0.007935141	Co-expression	Bild-Nevins-2006 B
CD8	GZMH	0.008782462	Co-expression	Bild-Nevins-2006 B
CD8	AIF1	0.011903274	Co-expression	Bild-Nevins-2006 B
CD8	KLRD1	0.007848679	Co-expression	Bild-Nevins-2006 B
CD8	CXCR3	0.01170257	Co-expression	Bild-Nevins-2006 B
CD8	GZMB	0.0056611374	Co-expression	Bild-Nevins-2006 B
CD8	SELPLG	0.008943474	Co-expression	Bild-Nevins-2006 B
CD8	MYO1F	0.007705691	Co-expression	Bild-Nevins-2006 B
CD8	ARHGAP25	0.0034558205	Co-expression	Bild-Nevins-2006 B
CD8	CASP8	0.00940285	Co-expression	Bild-Nevins-2006 B
CD8	CD161	0.006313494	Co-expression	Bild-Nevins-2006 B
CD8	CD4	0.010328522	Co-expression	Bild-Nevins-2006 B
CD8	NKG7	0.0062509235	Co-expression	Bild-Nevins-2006 B
CD8	CD31	0.008391122	Co-expression	Bild-Nevins-2006 B
CD8	CD95	0.009842454	Co-expression	Bild-Nevins-2006 B
CD8	PLEK	0.0042778547	Co-expression	Bild-Nevins-2006 B
CD8	CD3E	0.0041783834	Co-expression	Bild-Nevins-2006 B
F5	CD28	0.021660376	Co-expression	Bild-Nevins-2006 B
ACTN1	LMNA	0.0162433	Co-expression	Bild-Nevins-2006 B
EPHX2	GLUL	0.009901757	Co-expression	Bild-Nevins-2006 B
RAP1B	TPST2	0.024831465	Co-expression	Bild-Nevins-2006 B
RAP1B	UBQLN2	0.01107529	Co-expression	Bild-Nevins-2006 B
CAPN2	LMNA	0.011787299	Co-expression	Bild-Nevins-2006 B
GLUT1	IL-4	0.0054715434	Co-expression	Bild-Nevins-2006 B
GLUT1	PLEKHG3	0.002159662	Co-expression	Bild-Nevins-2006 B
MAL	SYNE1	0.022127248	Co-expression	Bild-Nevins-2006 B
MAL	ARHGAP45	0.006345335	Co-expression	Bild-Nevins-2006 B
MAL	LTB	0.007708719	Co-expression	Bild-Nevins-2006 B
MAL	CD197	0.0071915453	Co-expression	Bild-Nevins-2006 B
MAL	CD3E	0.0067335195	Co-expression	Bild-Nevins-2006 B
CD30	GZMH	0.013635128	Co-expression	Bild-Nevins-2006 B
ISG20	GZMB	0.0077241273	Co-expression	Bild-Nevins-2006 B
ISG20	GNLY	0.014668187	Co-expression	Bild-Nevins-2006 B
ISG20	ARHGAP25	0.0045382855	Co-expression	Bild-Nevins-2006 B
ISG20	CD197	0.005138468	Co-expression	Bild-Nevins-2006 B
ISG20	STK10	0.0060132407	Co-expression	Bild-Nevins-2006 B
GZMK	GZMH	0.007239446	Co-expression	Bild-Nevins-2006 B
GZMK	AIF1	0.010882233	Co-expression	Bild-Nevins-2006 B
GZMK	GZMB	0.0064169476	Co-expression	Bild-Nevins-2006 B
GZMK	GNLY	0.011935588	Co-expression	Bild-Nevins-2006 B
GZMK	MYO1F	0.0078043034	Co-expression	Bild-Nevins-2006 B
GZMK	RGS19	0.009701139	Co-expression	Bild-Nevins-2006 B
GZMK	CD161	0.008084799	Co-expression	Bild-Nevins-2006 B
GZMK	NKG7	0.00674133	Co-expression	Bild-Nevins-2006 B
GZMK	GPR183	0.00932688	Co-expression	Bild-Nevins-2006 B
GZMK	PLEK	0.0045322627	Co-expression	Bild-Nevins-2006 B
GZMK	CD3E	0.0042712935	Co-expression	Bild-Nevins-2006 B
GZMK	CD8	0.0074408306	Co-expression	Bild-Nevins-2006 B
ATM	CD6	0.01742522	Co-expression	Bild-Nevins-2006 B
ATM	LTB	0.009218002	Co-expression	Bild-Nevins-2006 B
ATM	ARHGAP25	0.006473811	Co-expression	Bild-Nevins-2006 B
ATM	CD197	0.007889239	Co-expression	Bild-Nevins-2006 B
ATM	STK10	0.009659257	Co-expression	Bild-Nevins-2006 B
ATM	CD3E	0.008030743	Co-expression	Bild-Nevins-2006 B
SLC9A3R1	FAM102A	0.014133744	Co-expression	Bild-Nevins-2006 B
SLC9A3R1	LLGL2	0.014489792	Co-expression	Bild-Nevins-2006 B
CD3G	ARHGAP45	0.006941994	Co-expression	Bild-Nevins-2006 B
CD3G	PDE3B	0.023156874	Co-expression	Bild-Nevins-2006 B
CD3G	KLRD1	0.017676396	Co-expression	Bild-Nevins-2006 B
CD3G	LTB	0.007311171	Co-expression	Bild-Nevins-2006 B
CD3G	TTN	0.017586796	Co-expression	Bild-Nevins-2006 B
CD3G	ARHGAP25	0.0062119593	Co-expression	Bild-Nevins-2006 B
CD3G	CD197	0.007968439	Co-expression	Bild-Nevins-2006 B
CD3G	CD3E	0.00646685	Co-expression	Bild-Nevins-2006 B
CXCR4	ZNF101	0.019603398	Co-expression	Bild-Nevins-2006 B
CXCR4	CD300A	0.021194348	Co-expression	Bild-Nevins-2006 B
CXCR4	ARHGAP45	0.0076323464	Co-expression	Bild-Nevins-2006 B
CXCR4	IL17RA	0.017323293	Co-expression	Bild-Nevins-2006 B
CXCR4	CD197	0.007718598	Co-expression	Bild-Nevins-2006 B
CXCR4	CD161	0.012238547	Co-expression	Bild-Nevins-2006 B
CXCR4	GPR183	0.021127548	Co-expression	Bild-Nevins-2006 B
CXCR4	PLEK	0.00719292	Co-expression	Bild-Nevins-2006 B
CXCR4	CD3E	0.0071025193	Co-expression	Bild-Nevins-2006 B
CXCR4	GZMK	0.011183823	Co-expression	Bild-Nevins-2006 B
CD45	CD300A	0.010437293	Co-expression	Bild-Nevins-2006 B
CD45	SYNE1	0.009301529	Co-expression	Bild-Nevins-2006 B
CD45	IL17RA	0.008681906	Co-expression	Bild-Nevins-2006 B
CD45	SAMHD1	0.0077437665	Co-expression	Bild-Nevins-2006 B
CD45	PDE3B	0.014423647	Co-expression	Bild-Nevins-2006 B
CD45	NPAT	0.008792535	Co-expression	Bild-Nevins-2006 B
CD45	ARHGAP25	0.0044470388	Co-expression	Bild-Nevins-2006 B
CD45	CASP8	0.00983493	Co-expression	Bild-Nevins-2006 B
CD45	CD197	0.004630038	Co-expression	Bild-Nevins-2006 B
CD45	CD4	0.011575912	Co-expression	Bild-Nevins-2006 B
CD45	GPR183	0.010202016	Co-expression	Bild-Nevins-2006 B
CD45	PLEK	0.0054036314	Co-expression	Bild-Nevins-2006 B
CD45	CD3E	0.004498663	Co-expression	Bild-Nevins-2006 B
CD45	CD8	0.006199824	Co-expression	Bild-Nevins-2006 B
CD45	GZMK	0.0065561645	Co-expression	Bild-Nevins-2006 B
CD39	CD300A	0.024316227	Co-expression	Bild-Nevins-2006 B
CD39	ZEB2	0.015304076	Co-expression	Bild-Nevins-2006 B
CD39	CD161	0.008960807	Co-expression	Bild-Nevins-2006 B
CD39	CD31	0.020044507	Co-expression	Bild-Nevins-2006 B
CD39	CD8	0.008641472	Co-expression	Bild-Nevins-2006 B
CD52	RASGRP2	0.0076387064	Co-expression	Bild-Nevins-2006 B
CD52	ARHGAP45	0.0034646771	Co-expression	Bild-Nevins-2006 B
CD52	PDE3B	0.007464452	Co-expression	Bild-Nevins-2006 B
CD52	PASK	0.005564808	Co-expression	Bild-Nevins-2006 B
CD52	NPAT	0.0051423563	Co-expression	Bild-Nevins-2006 B
CD52	CXCR3	0.0070944275	Co-expression	Bild-Nevins-2006 B
CD52	TCF7	0.007617645	Co-expression	Bild-Nevins-2006 B
CD52	CCR6	0.007227616	Co-expression	Bild-Nevins-2006 B
CD52	SELPLG	0.0051141563	Co-expression	Bild-Nevins-2006 B
CD52	GNLY	0.006047508	Co-expression	Bild-Nevins-2006 B
CD52	RGS19	0.005224842	Co-expression	Bild-Nevins-2006 B
CD52	LTB	0.0038224696	Co-expression	Bild-Nevins-2006 B
CD52	TTN	0.0061956933	Co-expression	Bild-Nevins-2006 B
CD52	CD5	0.007708258	Co-expression	Bild-Nevins-2006 B
CD52	ARHGAP25	0.0029481682	Co-expression	Bild-Nevins-2006 B
CD52	CD197	0.003289966	Co-expression	Bild-Nevins-2006 B
CD52	CD161	0.0043701855	Co-expression	Bild-Nevins-2006 B
CD52	PRKCB	0.0075543844	Co-expression	Bild-Nevins-2006 B
CD52	CD42b	0.0050560455	Co-expression	Bild-Nevins-2006 B
CD52	SH3BP5	0.0064572985	Co-expression	Bild-Nevins-2006 B
CD52	FCMR	0.0052459193	Co-expression	Bild-Nevins-2006 B
CD52	NKG7	0.0034942264	Co-expression	Bild-Nevins-2006 B
CD52	GPR183	0.006406882	Co-expression	Bild-Nevins-2006 B
CD52	PLEK	0.0028580055	Co-expression	Bild-Nevins-2006 B
CD52	STK10	0.0033794949	Co-expression	Bild-Nevins-2006 B
CD52	CD3E	0.0029600589	Co-expression	Bild-Nevins-2006 B
CD52	MAL	0.005541852	Co-expression	Bild-Nevins-2006 B
CD52	ISG20	0.0046472787	Co-expression	Bild-Nevins-2006 B
CD52	GZMK	0.0038099957	Co-expression	Bild-Nevins-2006 B
CD52	CD3G	0.0067536137	Co-expression	Bild-Nevins-2006 B
CD52	CXCR4	0.0061100507	Co-expression	Bild-Nevins-2006 B
CD52	CD45	0.004529348	Co-expression	Bild-Nevins-2006 B
LGALS1	ACTN1	0.015745113	Co-expression	Bild-Nevins-2006 B
CD2	ZNF101	0.0055537876	Co-expression	Bild-Nevins-2006 B
CD2	CD6	0.0061087445	Co-expression	Bild-Nevins-2006 B
CD2	ARHGAP45	0.0036951003	Co-expression	Bild-Nevins-2006 B
CD2	GZMH	0.0053929817	Co-expression	Bild-Nevins-2006 B
CD2	AIF1	0.00747032	Co-expression	Bild-Nevins-2006 B
CD2	PDE3B	0.008455587	Co-expression	Bild-Nevins-2006 B
CD2	CXCR3	0.009818077	Co-expression	Bild-Nevins-2006 B
CD2	GZMB	0.004538915	Co-expression	Bild-Nevins-2006 B
CD2	TCF7	0.008334054	Co-expression	Bild-Nevins-2006 B
CD2	SELPLG	0.006393845	Co-expression	Bild-Nevins-2006 B
CD2	GNLY	0.008401796	Co-expression	Bild-Nevins-2006 B
CD2	MYO1F	0.0060493643	Co-expression	Bild-Nevins-2006 B
CD2	RGS19	0.006587974	Co-expression	Bild-Nevins-2006 B
CD2	CD5	0.00950024	Co-expression	Bild-Nevins-2006 B
CD2	ARHGAP25	0.0030120546	Co-expression	Bild-Nevins-2006 B
CD2	CD197	0.003399519	Co-expression	Bild-Nevins-2006 B
CD2	CD161	0.005577344	Co-expression	Bild-Nevins-2006 B
CD2	NKG7	0.0050768508	Co-expression	Bild-Nevins-2006 B
CD2	GPR183	0.0067189345	Co-expression	Bild-Nevins-2006 B
CD2	PLEK	0.0033842977	Co-expression	Bild-Nevins-2006 B
CD2	CD3E	0.0037380466	Co-expression	Bild-Nevins-2006 B
CD2	CD8	0.005312078	Co-expression	Bild-Nevins-2006 B
CD2	ISG20	0.0054955604	Co-expression	Bild-Nevins-2006 B
CD2	GZMK	0.005778696	Co-expression	Bild-Nevins-2006 B
